Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,80.500000,-156.230000,90.000000,top
C2,10u,C_0805_2012Metric,87.250000,-147.500000,180.000000,top
C3,10u,C_0805_2012Metric,81.000000,-152.250000,180.000000,top
C4,100n,C_0402_1005Metric,66.750000,-166.750000,-90.000000,top
C5,100n,C_0402_1005Metric,65.750000,-166.750000,-90.000000,top
C6,1u,C_0402_1005Metric,67.750000,-166.750000,-90.000000,top
C7,100n,C_0402_1005Metric,73.500000,-167.000000,90.000000,top
C8,1u,C_0402_1005Metric,68.750000,-165.250000,180.000000,top
C9,100n,C_0402_1005Metric,77.750000,-158.750000,180.000000,top
C10,100n,C_0402_1005Metric,71.750000,-153.750000,-90.000000,top
C11,100n,C_0402_1005Metric,72.500000,-167.020000,90.000000,top
C12,100n,C_0402_1005Metric,64.520000,-159.000000,0.000000,top
C13,27 pF,C_0402_1005Metric,69.270000,-150.250000,0.000000,top
C14,27 pF,C_0402_1005Metric,76.750000,-148.250000,180.000000,top
C15,100n,C_0402_1005Metric,66.020000,-164.250000,0.000000,top
C16,100n,C_0402_1005Metric,66.020000,-163.250000,0.000000,top
C17,100n,C_0402_1005Metric,97.000000,-166.250000,0.000000,top
D1,SMF05CT1G,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,44.100000,-200.850000,0.000000,top
DS0,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.245595,-23.250000,270.000000,top
DS1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.655595,-23.740000,270.000000,top
DS2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.955595,-25.220000,270.000000,top
DS3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.055595,-27.650000,270.000000,top
DS4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.855595,-31.030000,270.000000,top
DS5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.245595,-35.310000,270.000000,top
DS6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.145595,-40.440000,270.000000,top
DS7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.465595,-46.370000,270.000000,top
DS8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,188.125595,-53.030000,270.000000,top
DS9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,194.055595,-60.350000,270.000000,top
DS10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,199.185595,-68.250000,270.000000,top
DS11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.465595,-76.640000,270.000000,top
DS12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,206.845595,-85.440000,270.000000,top
DS13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,209.275595,-94.540000,270.000000,top
DS14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,210.755595,-103.840000,270.000000,top
DS15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,211.245595,-113.250000,270.000000,top
DS16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,210.755595,-122.660000,270.000000,top
DS17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,209.275595,-131.960000,270.000000,top
DS18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,206.845595,-141.060000,270.000000,top
DS19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.465595,-149.860000,270.000000,top
DS20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,199.185595,-158.250000,270.000000,top
DS21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,194.055595,-166.150000,270.000000,top
